run_id,original_path,exclusion_reason,secondary_label,detail
20260411_014810_ocs2_stepdown_3cm_ctp009_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp009_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_014810_ocs2_stepdown_3cm_ctp009_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp009_r04,low_progress,,low_progress:0.0190
20260411_015225_ocs2_stepdown_3cm_ctp010_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp010_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_015225_ocs2_stepdown_3cm_ctp010_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp010_r02,short_duration,,duration_executed=6.2810
20260411_015332_ocs2_stepdown_3cm_ctp010_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp010_r05,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_015332_ocs2_stepdown_3cm_ctp010_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp010_r05,low_progress,,low_progress:0.0181
20260411_015613_ocs2_stepdown_3cm_ctp010_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp010_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_015613_ocs2_stepdown_3cm_ctp010_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp010_r10,short_duration,,duration_executed=7.8209
20260411_015702_ocs2_stepdown_3cm_ctp012_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp012_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_015702_ocs2_stepdown_3cm_ctp012_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp012_r02,short_duration,,duration_executed=6.2211
20260411_020016_ocs2_stepdown_3cm_ctp012_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp012_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_020016_ocs2_stepdown_3cm_ctp012_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp012_r09,short_duration,,duration_executed=6.6208
20260411_020101_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r01,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_020101_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r01,short_duration,,duration_executed=5.3807
20260411_020151_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r03,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_020151_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r03,short_duration,,duration_executed=6.0008
20260411_020210_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_020210_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r04,low_progress,,low_progress:0.4374
20260411_020236_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r05,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_020236_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r05,short_duration,,duration_executed=7.5809
20260411_020257_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r06,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_020257_ocs2_stepdown_3cm_ctp015_height_only_nominal_v1_contactflagbias_batch_3cm_ocs2_stepdown_3cm_ctp015_r06,short_duration,,duration_executed=6.8810
